cliente,produtos_comprados
cliente0,"Calendários ecológicos e produtos de papel reciclado, Mochilas sustentáveis feitas de materiais reciclados, Lanternas solares recarregáveis, Alimentos orgânicos, como frutas, legumes e grãos, Carregadores solares para dispositivos móveis"
cliente1,"Lâmpadas LED de baixo consumo de energia, Cremes faciais livres de parabenos e produtos químicos, Meias de fibra de bambu, Luminárias de LED de baixo consumo de energia"
cliente2,"Painéis solares para instalação em residências, Jeans feitos com materiais reciclados"
cliente3,"Escova de dentes de bambu, Shampoo em barra, Desodorante natural sem alumínio"
cliente4,"Garrafa de água de aço inoxidável, Copo de café reutilizável, Canudos de metal"
cliente5,"Composteira doméstica, Sementes de hortaliças orgânicas, Ferramentas de jardinagem de bambu"
cliente6,"Camisetas de algodão orgânico, Tênis veganos, Óculos de sol com armação de madeira"
cliente7,"Detergente biodegradável, Sabão em pó ecológico, Limpador multiuso natural"
cliente8,"Bicicleta elétrica, Capacete feito com materiais reciclados"
cliente9,"Filtro de água de cerâmica, Potes de vidro para armazenamento de alimentos"
cliente10,"Velas de cera de soja, Incensos naturais, Difusor de aromas elétrico de baixo consumo"
cliente11,"Cadernos de papel semente, Canetas de material reciclado, Clipes de papel biodegradáveis"
cliente12,"Kit de talheres de bambu para viagem, Marmita de aço inoxidável"
cliente13,"Roupas de cama de linho, Toalhas de algodão orgânico"
cliente14,"Tinta de parede à base de água e sem VOCs, Pincéis com cerdas recicladas"
cliente15,"Painéis solares para aquecimento de água, Torneiras com arejador para economia de água"
cliente16,"Brinquedos de madeira de reflorestamento, Fraldas de pano reutilizáveis"
cliente17,"Protetor solar mineral, Repelente de insetos natural, Loção pós-sol de aloe vera orgânica"
cliente18,"Sacos de algodão para compras a granel, Embalagens de cera de abelha para alimentos"
cliente19,"Café de comércio justo (Fair Trade), Chocolate orgânico 70% cacau"
cliente20,"Tapete de yoga feito de cortiça, Bloco de yoga de bambu"
cliente21,"Carregadores solares para dispositivos móveis, Pilhas recarregáveis"
cliente22,"Alimentos orgânicos, como frutas, legumes e grãos, Azeite de oliva extra virgem orgânico"
cliente23,"Lâmpadas LED de baixo consumo de energia, Extensão elétrica com temporizador"
cliente24,"Jeans feitos com materiais reciclados, Cinto de couro vegano"
cliente25,"Shampoo em barra, Condicionador em barra, Sabonete artesanal natural"
cliente26,"Mochilas sustentáveis feitas de materiais reciclados, Garrafa de água de aço inoxidável"
cliente27,"Sistema de captação de água da chuva, Regador de jardim de plástico reciclado"
cliente28,"Cremes faciais livres de parabenos e produtos químicos, Maquiagem vegana e cruelty-free"
cliente29,"Meias de fibra de bambu, Roupas íntimas de algodão orgânico"
cliente30,"Painéis solares para instalação em residências, Baterias para armazenamento de energia solar"
cliente31,"Composteira doméstica, Adubo orgânico líquido"
cliente32,"Calendários ecológicos e produtos de papel reciclado, Agenda de papel reciclado 2024"
cliente33,"Lanternas solares recarregáveis, Luminária de jardim solar"
cliente34,"Tênis veganos, Cadarços de algodão reciclado"
cliente35,"Filtro de água de cerâmica, Suco de uva orgânico integral"
cliente36,"Detergente biodegradável, Esponja de bucha vegetal para louça"
cliente37,"Escova de dentes de bambu, Fio dental de seda natural"
cliente38,"Garrafa de água de aço inoxidável, Suporte para bicicleta de parede"
cliente39,"Camisetas de algodão orgânico, Shorts de linho"
cliente40,"Copos de café reutilizáveis, Grãos de café orgânico moídos na hora"
cliente41,"Potes de vidro para armazenamento de alimentos, Etiquetas reutilizáveis para potes"
cliente42,"Bicicleta elétrica, Luzes de segurança LED para bicicleta"
cliente43,"Roupas de cama de linho, Fronhas de algodão orgânico"
cliente44,"Sabão em pó ecológico, Amaciante natural de vinagre e ervas"
cliente45,"Protetor solar mineral, Chapéu de palha de origem sustentável"
cliente46,"Sacos de algodão para compras a granel, Farinha de trigo integral orgânica"
cliente47,"Kit de talheres de bambu para viagem, Guardanapos de pano"
cliente48,"Velas de cera de soja, Óleos essenciais orgânicos (lavanda e eucalipto)"
cliente49,"Cadernos de papel semente, Lápis de cor feitos de madeira de reflorestamento"
cliente50,"Painéis solares para aquecimento de água, Chuveiro com redutor de vazão"
cliente51,"Brinquedos de madeira de reflorestamento, Livros infantis sobre ecologia"
cliente52,"Maquiagem vegana e cruelty-free, Removedor de maquiagem à base de óleo de coco"
cliente53,"Chocolate orgânico 70% cacau, Chá de camomila orgânico"
cliente54,"Tapete de yoga feito de cortiça, Garrafa de água de aço inoxidável"
cliente55,"Pilhas recarregáveis, Carregador de pilhas"
cliente56,"Luminárias de LED de baixo consumo de energia, Sensor de presença para iluminação"
cliente57,"Jeans feitos com materiais reciclados, Jaqueta jeans de segunda mão"
cliente58,"Shampoo em barra, Porta-shampoo de bambu"
cliente59,"Mochilas sustentáveis feitas de materiais reciclados, Estojo de lona reciclada"
cliente60,"Composteira doméstica, Minhocas californianas para compostagem"
cliente61,"Alimentos orgânicos, como frutas, legumes e grãos, Geleia de morango orgânica"
cliente62,"Cremes faciais livres de parabenos e produtos químicos, Esfoliante facial natural"
cliente63,"Meias de fibra de bambu, Sapatos casuais de lona orgânica"
cliente64,"Carregadores solares para dispositivos móveis, Power bank de alta capacidade"
cliente65,"Filtro de água de cerâmica, Bebedouro para animais de estimação com filtro"
cliente66,"Detergente biodegradável, Panos de limpeza de microfibra reciclada"
cliente67,"Escova de dentes de bambu, Pasta de dente natural sem flúor"
cliente68,"Camisetas de algodão orgânico, Calça de moletom de algodão reciclado"
cliente69,"Copos de café reutilizáveis, Filtro de café de pano"
cliente70,"Bicicleta elétrica, Cesta de vime para bicicleta"
cliente71,"Tinta de parede à base de água e sem VOCs, Rolo de pintura de lã de carneiro"
cliente72,"Sacos de algodão para compras a granel, Nozes e castanhas a granel"
cliente73,"Roupas de cama de linho, Edredom com enchimento de fibra reciclada"
cliente74,"Kit de talheres de bambu para viagem, Jogo americano de cortiça"
cliente75,"Protetor solar mineral, Óleo de bronzear natural"
cliente76,"Velas de cera de soja, Castiçais de vidro reciclado"
cliente77,"Painéis solares para instalação em residências"
cliente78,"Cadernos de papel semente, Marcadores de página de papel reciclado"
cliente79,"Café de comércio justo (Fair Trade), Açúcar demerara orgânico"
cliente80,"Lâmpadas LED de baixo consumo de energia"
cliente81,"Brinquedos de madeira de reflorestamento, Quebra-cabeça de paisagens naturais"
cliente82,"Tapete de yoga feito de cortiça, Roupas de ginástica de poliamida biodegradável"
cliente83,"Maquiagem vegana e cruelty-free, Pincéis de maquiagem com cerdas sintéticas"
cliente84,"Garrafa de água de aço inoxidável, Marmita de aço inoxidável, Copo de café reutilizável"
cliente85,"Lanternas solares recarregáveis, Kit de primeiros socorros para camping"
cliente86,"Shampoo em barra, Condicionador em barra, Sabonete em barra, Desodorante natural sem alumínio"
cliente87,"Jeans feitos com materiais reciclados, Camisa de algodão orgânico"
cliente88,"Composteira doméstica, Livro sobre permacultura"
cliente89,"Alimentos orgânicos, como frutas, legumes e grãos, Vinho orgânico tinto"
cliente90,"Cremes faciais livres de parabenos e produtos químicos, Argila verde para máscara facial"
cliente91,"Meias de fibra de bambu, Chinelos de borracha reciclada"
cliente92,"Painéis solares para aquecimento de água"
cliente93,"Filtro de água de cerâmica, Purificador de ar com filtro HEPA"
cliente94,"Detergente biodegradável, Pastilhas para máquina de lavar louça ecológicas"
cliente95,"Escova de dentes de bambu, Enxaguante bucal natural"
cliente96,"Bicicleta elétrica, Bolsa de selim para ferramentas"
cliente97,"Camisetas de algodão orgânico, Bermuda de praia feita de garrafas PET recicladas"
cliente98,"Sacos de algodão para compras a granel, Grão de bico e lentilha a granel"
cliente99,"Roupas de cama de linho, Manta de sofá de lã reciclada"